Jawa Tengah, Latitude, Longtitude
Kabupaten Cilacap, -7.57417, 108.98861
Kabupaten Banyumas, -7.45, 109.16667
Kabupaten Purbalingga, -7.28417, 109.35028
Kabupaten Banjarnegara, -7.35111, 109.5875
Kabupaten Kebumen, -7.63917, 109.66056
Kabupaten Purworejo, -7.7, 109.96667
Kabupaten Wonosobo, -7.36139, 109.92667
Kabupaten Magelang, -7.4275, 110.16194
Kabupaten Boyolali, -7.5, 110.7
Kabupaten Klaten, -7.68333, 110.61667
Kabupaten Sukoharjo, -7.68333, 110.83333
Kabupaten Wonogiri, -7.91667, 111
Kabupaten Karanganyar, -7.62806, 111.0625
Kabupaten Sragen, -7.41278, 110.935
Kabupaten Grobogan, -7.11667, 110.91667
Kabupaten Blora, -7.06667, 111.38333
Kabupaten Rembang, -6.78333, 111.46667
Kabupaten Pati, -6.76667, 111.1
Kabupaten Kudus, -6.8, 110.86667
Kabupaten Jepara, -6.58333, 110.76667
Kabupaten Demak, -6.8993, 110.6122
Kabupaten Semarang, -7.20667, 110.44139
Kabupaten Temanggung, -7.25, 110.11667
Kabupaten Kendal, -7.0256, 110.1685
Kabupaten Batang, -7.03333, 109.88333
Kabupaten Pekalongan, -7.0319, 109.624
Kabupaten Pemalang, -7.03333, 109.4
Kabupaten Tegal, -7.03333, 109.16667
Kabupaten Brebes, -7.05, 108.9
Kota Magelang, -7.5, 110.225
Kota Surakarta, -7.55, 110.81667
Kota Salatiga, -7.330965264770849, 110.5086973218211
Kota Semarang, -6.981368437229428, 110.4119427199277
Kota Pekalongan, -6.9, 109.68333
Kota Tegal, -6.8686, 109.1129